City,Latitude,Longitude,Country,Continent,Population (2024),Population (2023),Growth Rate,Growth Rate (%)
Oran,35.6987388,-0.6349319,Algeria,Africa,950768,935947,0.01583529837,1.58
West Rand,-26.3213939,27.4556388,South Africa,Africa,947734,934341,0.01433416708,1.43
Cabinda,-5.5705739,12.197583,Angola,Africa,947634,904676,0.04748440326,4.75
Umuahia,5.5243165,7.4933142,Nigeria,Africa,947460,904139,0.04791409286,4.79
Bogra,24.8525537,89.3730275,Bangladesh,Asia,944877,905814,0.04312474746,4.31
Bahawalpur,29.3885409,71.7016425,Pakistan,Asia,944812,919654,0.02735594039,2.74
Seongnam,37.3918136,127.113092,South Korea,Asia,942159,941508,0.0006914439389,0.07
Guntur,16.3066525,80.4365402,India,Asia,940205,918324,0.02382710242,2.38
Dnipro,48.464717,35.046183,Ukraine,Europe,936766,941586,-0.005119022585,-0.51
Campo Grande,-20.4648517,-54.6218477,Brazil,South America,934936,926095,0.009546536802,0.95
Malang,-7.9666204,112.6326321,Indonesia,Asia,933392,919443,0.01517114166,1.52
Londrina,-23.3197305,-51.1662008,Brazil,South America,932892,922425,0.01134726401,1.13
Dandong,39.9997999,124.35601,China,Asia,932648,917936,0.01602726116,1.6
San Jose,37.33874,-121.8852525,United States,North America,932636,951934,-0.02027241384,-2.03
Changzhi,36.1958099,113.11649,China,Asia,930620,910743,0.02182503736,2.18
Hermosillo,29.0729673,-110.9559192,Mexico,North America,929961,915060,0.01628417809,1.63
Bhiwandi,19.2812547,73.0482912,India,Asia,924670,906581,0.01995298821,2.0
La Plata,-34.9204948,-57.9535657,Argentina,South America,923715,914036,0.01058929845,1.06
Liverpool,53.4083714,-2.9915726,United Kingdom,Europe,922871,917032,0.006367280531,0.64
Ashgabat,37.9600766,58.3260629,Turkmenistan,Asia,921601,902353,0.02133089822,2.13
Concepcion,-36.8201352,-73.0443904,Chile,South America,920916,911862,0.009929134014,0.99
Charlotte,35.2270768,-80.8408933,United States,North America,920325,909022,0.01243424252,1.24
Puducherry,11.9415915,79.8083133,India,Asia,919280,897983,0.02371648461,2.37
Changde,29.0315799,111.69854,China,Asia,919026,898338,0.02302919391,2.3
Bergamo,45.6941966,9.6707462,Italy,Europe,918675,913376,0.005801553796,0.58
Firozabad,27.1591961,78.3957331,India,Asia,918218,894388,0.0266439174,2.66
Erbil,36.1877383,44.0106983,Iraq,Asia,917639,896716,0.023332917,2.33
Tyumen,57.1553394,65.5618636,Russia,Asia,916862,903815,0.01443547629,1.44
Trujillo,-8.1157846,-79.0257381,Peru,South America,916632,903896,0.01409011656,1.41
Liaoyang,41.2680899,123.2373599,China,Asia,916238,900692,0.01726006226,1.73
Shangqiu,34.4142699,115.65635,China,Asia,915823,895111,0.02313902968,2.31
Ulsan,35.5376797,129.328012,South Korea,Asia,914300,912734,0.001715724406,0.17
Tuxtla Gutierrez,16.7516009,-93.1029939,Mexico,North America,913075,897694,0.01713390086,1.71
Columbus,39.9625112,-83.0032218,United States,North America,909676,908823,0.0009385765985,0.09
Kuerle,41.7264299,86.1736899,China,Asia,906765,875496,0.03571575427,3.57
Soshanguve,-25.4525229,28.1088486,South Africa,Africa,905868,892254,0.01525798708,1.53
Xingtai,37.0705499,114.50443,China,Asia,904070,886381,0.01995642957,2.0
Culiacan,24.8090649,-107.3940117,Mexico,North America,903910,888620,0.01720645495,1.72
Quzhou,28.9359199,118.87419,China,Asia,902621,871457,0.03576080059,3.58
Cherthala,9.6741363,76.3400963,India,Asia,901820,870465,0.03602097729,3.6
Huangshi,30.1995299,115.0389,China,Asia,893107,876930,0.0184473105,1.84
Fuxin,42.0216599,121.67011,China,Asia,889767,876131,0.01556388257,1.56
Lokoja,7.8023204,6.733343,Nigeria,Africa,885882,839046,0.05582053904,5.58
Hufuf Mubarraz,25.4051051,49.5483671,Saudi Arabia,Asia,884753,872438,0.01411561624,1.41
Libreville,0.4077972,9.4402833,Gabon,Africa,883920,869773,0.01626516344,1.63
Yongzhou,26.4203399,111.61225,China,Asia,883326,860522,0.02650019407,2.65
Xinghua,32.9104099,119.85272,China,Asia,882986,861978,0.02437185172,2.44
Donetsk,48.015883,37.80285,Ukraine,Europe,882209,887716,-0.006203560598,-0.62
Yibin,28.7512999,104.6417,China,Asia,881480,864910,0.01915806269,1.92
Enugu,6.4482701,7.5138947,Nigeria,Africa,875552,846560,0.03424683425,3.42
Tainan,22.9998999,120.2268758,Taiwan,Asia,875392,869625,0.006631594078,0.66
Indianapolis (balance),39.76909,-86.158018,United States,North America,874089,877355,-0.003722552445,-0.37
Xinyang,32.1471399,114.09279,China,Asia,873268,855191,0.02113796801,2.11
Ipoh,4.6005126,101.0757837,Malaysia,Asia,872424,857225,0.0177304675,1.77
Luzhou,28.8716999,105.44257,China,Asia,870714,857683,0.01519325905,1.52
Banghazi,32.1194242,20.0867909,Libya,Africa,870502,859209,0.0131434843,1.31
Maiduguri,11.8310981,13.1509672,Nigeria,Africa,870201,844747,0.03013209872,3.01
Yangquan,37.8566799,113.58047,China,Asia,869585,851630,0.02108309947,2.11
Huaihua,27.5697399,110.0016,China,Asia,869575,843754,0.03060252159,3.06
Xiaogan,30.9248299,113.91645,China,Asia,869479,849580,0.02342216154,2.34
Tianshui,34.5808499,105.72486,China,Asia,858672,837479,0.02530570916,2.53
Bunia,1.574278,30.2397336,DR Congo,Africa,856339,812090,0.05448780308,5.45
